Origin,Dest,Time,Distance,Count,O_lat,O_long,D_lat,D_long
ABE,ATL,337.4219178,1825.742466,963,40.65209961,-75.44080353,33.6367,-84.428101
ABE,CLT,316.3194444,1219.869444,913,40.65209961,-75.44080353,35.2140007,-80.94309998
ABE,DTW,266.4340659,1069.505495,916,40.65209961,-75.44080353,42.21239853,-83.35340118
ABE,FLL,164.7222222,1041,72,40.65209961,-75.44080353,26.072599,-80.152702
ABE,MDT,0,77,1,40.65209961,-75.44080353,40.19350052,-76.76339722
ABE,MYR,92.4939759,524.2409639,84,40.65209961,-75.44080353,33.67969894,-78.92829895
ABE,ORD,268.519337,1258.723757,348,40.65209961,-75.44080353,41.9786,-87.9048
ABE,PGD,159.5416667,1018,144,40.65209961,-75.44080353,26.92020035,-81.9905014
ABE,PHL,43.425,55,40,40.65209961,-75.44080353,39.87189865,-75.2410965
ABE,PIE,153.5796178,976.1783439,158,40.65209961,-75.44080353,27.91020012,-82.68740082
ABE,SFB,173.6518106,1085.916435,442,40.65209961,-75.44080353,28.77759933,-81.23750305
ABI,DFW,317.5961538,859.8846154,1981,32.41130066,-99.68190002,32.896801,-97.038002
ABQ,ATL,400.890411,2955.205479,850,35.040199,-106.609001,33.6367,-84.428101
ABQ,AUS,154.4878049,968.7601626,385,35.040199,-106.609001,30.19449997,-97.66989899
ABQ,BWI,316.8324176,2505,546,35.040199,-106.609001,39.1754,-76.668297
ABQ,DAL,433.4821918,2656.876712,1672,35.040199,-106.609001,32.847099,-96.851799
ABQ,DEN,578.8849315,2633.276712,2754,35.040199,-106.609001,39.86169815,-104.6729965
ABQ,DFW,770.8328767,4204.364384,2697,35.040199,-106.609001,32.896801,-97.038002
ABQ,HOU,324.4931507,2150.153425,1034,35.040199,-106.609001,29.64539909,-95.27890015
ABQ,IAH,442.7087912,2642.835165,1293,35.040199,-106.609001,29.9843998,-95.34140015
ABQ,JFK,236.7915309,1826,307,35.040199,-106.609001,40.63980103,-73.77890015
ABQ,LAS,352.3561644,1950.657534,1465,35.040199,-106.609001,36.08010101,-115.1520004
ABQ,LAX,432.1917808,2390.830137,1289,35.040199,-106.609001,33.94250107,-118.4079971
ABQ,MCI,107.1083333,737.9444444,370,35.040199,-106.609001,39.2976,-94.713898
ABQ,MCO,211.034188,1553,117,35.040199,-106.609001,28.42939949,-81.30899811
ABQ,MDW,288.0247253,2131.131868,692,35.040199,-106.609001,41.785999,-87.752403
ABQ,MSP,149.0050505,1015.681818,205,35.040199,-106.609001,44.882,-93.221802
ABQ,OAK,333.5369863,2106.808219,865,35.040199,-106.609001,37.721298,-122.221001
ABQ,ORD,463.0575342,3069.139726,1002,35.040199,-106.609001,41.9786,-87.9048
ABQ,PDX,163.09,1111,100,35.040199,-106.609001,45.58869934,-122.5979996
ABQ,PHX,790.030137,3259.331507,3627,35.040199,-106.609001,33.43429947,-112.012001
ABQ,SAN,201.9340659,1207.692308,700,35.040199,-106.609001,32.73360062,-117.1900024
ABQ,SAT,104.1578947,609,19,35.040199,-106.609001,29.53370094,-98.46980286
ABQ,SEA,191.7682927,1180,246,35.040199,-106.609001,47.449001,-122.308998
ABQ,SFO,428.5232877,2425.336986,988,35.040199,-106.609001,37.61899948,-122.375
ABQ,SJC,136.5531915,870,47,35.040199,-106.609001,37.362598,-121.929001
ABQ,SLC,136.1887324,701.3098592,505,35.040199,-106.609001,40.78839874,-111.9779968
ABQ,SNA,106.3529412,650,34,35.040199,-106.609001,33.67570114,-117.8679962
ABR,MSP,150.5812672,521.7878788,737,45.44910049,-98.42179871,44.882,-93.221802
ABY,ATL,170.4082192,400.0410959,1007,31.53549957,-84.19450378,33.6367,-84.428101
ACK,BOS,67.16964286,135.6875,167,41.25310135,-70.06020355,42.36429977,-71.00520325
ACK,CLT,146.1,723,10,41.25310135,-70.06020355,35.2140007,-80.94309998
ACK,DCA,205.3580247,855,171,41.25310135,-70.06020355,38.8521,-77.037697
ACK,JFK,189.0316456,589.443038,468,41.25310135,-70.06020355,40.63980103,-73.77890015
ACK,LGA,111.5977011,280.9425287,121,41.25310135,-70.06020355,40.77719879,-73.87259674
ACT,DFW,216.0657534,374.0438356,1534,31.61129951,-97.23049927,32.896801,-97.038002
ACV,LAX,111.1105769,577,208,40.978101,-124.109,33.94250107,-118.4079971
ACV,SFO,231.3351648,838.5989011,1221,40.978101,-124.109,37.61899948,-122.375
ACY,ATL,135.3439153,679,189,39.45759964,-74.57720184,33.6367,-84.428101
ACY,FLL,365.6923077,2292.192308,854,39.45759964,-74.57720184,26.072599,-80.152702
ACY,MCO,291.9065934,1689.956044,722,39.45759964,-74.57720184,28.42939949,-81.30899811
ACY,MSY,174.1261261,1103,111,39.45759964,-74.57720184,29.99340057,-90.25800323
ACY,MYR,85.38764045,466,356,39.45759964,-74.57720184,33.67969894,-78.92829895
ACY,PBI,152.6933333,936,150,39.45759964,-74.57720184,26.68320084,-80.09559631
