Origin,Dest,Time,Distance,Count,O_lat,O_long,D_lat,D_long
ACY,RSW,225.2444444,1369.344444,502,39.45759964,-74.57720184,26.53619957,-81.75520325
ACY,TPA,145.782967,913,364,39.45759964,-74.57720184,27.97550011,-82.53320313
ADK,ANC,160.1386139,1192,101,51.87799835,-176.6459961,61.17440033,-149.9960022
ADQ,ANC,89.6969697,430.7272727,618,57.75,-152.4940033,61.17440033,-149.9960022
AEX,ATL,367.139726,1802.739726,1316,31.32740021,-92.54979706,33.6367,-84.428101
AEX,DFW,228.2164384,805.0273973,1031,31.32740021,-92.54979706,32.896801,-97.038002
AEX,IAH,184.010989,526.1538462,1008,31.32740021,-92.54979706,29.9843998,-95.34140015
AGS,ATL,452.8027397,1043.70411,2664,33.36989975,-81.96450043,33.6367,-84.428101
AGS,CLT,295.3434903,673.6288089,1737,33.36989975,-81.96450043,35.2140007,-80.94309998
AGS,DCA,164,877.5,15,33.36989975,-81.96450043,38.8521,-77.037697
AGS,DFW,229.4285714,1123.714286,9,33.36989975,-81.96450043,32.896801,-97.038002
AGS,LGA,276.5714286,1549.714286,16,33.36989975,-81.96450043,40.77719879,-73.87259674
AGS,ORD,215.6,947.8,7,33.36989975,-81.96450043,41.9786,-87.9048
AGS,PHL,207.5,1020.25,7,33.36989975,-81.96450043,39.87189865,-75.2410965
AKN,ANC,57.74603175,288,63,58.67679977,-156.6490021,61.17440033,-149.9960022
ALB,ATL,427.2520548,2379.052055,1018,42.74829865,-73.80169678,33.6367,-84.428101
ALB,BWI,364.5205479,1482.213699,1872,42.74829865,-73.80169678,39.1754,-76.668297
ALB,CLT,357.8379121,1767.626374,996,42.74829865,-73.80169678,35.2140007,-80.94309998
ALB,DCA,273.8638889,999.05,1131,42.74829865,-73.80169678,38.8521,-77.037697
ALB,DEN,260.4378698,1719.556213,361,42.74829865,-73.80169678,39.86169815,-104.6729965
ALB,DTW,263.0169014,1195.639437,868,42.74829865,-73.80169678,42.21239853,-83.35340118
ALB,EWR,69.85858586,143,99,42.74829865,-73.80169678,40.69250107,-74.16870117
ALB,FLL,314.5151515,2023.250689,610,42.74829865,-73.80169678,26.072599,-80.152702
ALB,IAD,84.11764706,325,68,42.74829865,-73.80169678,38.94449997,-77.45580292
ALB,LAS,326.3333333,2237,27,42.74829865,-73.80169678,36.08010101,-115.1520004
ALB,MCO,506.8630137,3104.350685,1056,42.74829865,-73.80169678,28.42939949,-81.30899811
ALB,MDW,249.6547945,1396.676712,711,42.74829865,-73.80169678,41.785999,-87.752403
ALB,MSP,167.7913386,980,254,42.74829865,-73.80169678,44.882,-93.221802
ALB,ORD,777.7972603,3872.506849,1955,42.74829865,-73.80169678,41.9786,-87.9048
ALB,PGD,201.8571429,1185,7,42.74829865,-73.80169678,26.92020035,-81.9905014
ALB,PHL,165.5919118,471.5441176,605,42.74829865,-73.80169678,39.87189865,-75.2410965
ALB,PIE,194.9166667,1138,12,42.74829865,-73.80169678,27.91020012,-82.68740082
ALB,RSW,199.4583333,1205,48,42.74829865,-73.80169678,26.53619957,-81.75520325
ALB,SFB,158.5555556,1049,9,42.74829865,-73.80169678,28.77759933,-81.23750305
ALB,TPA,202.3760933,1284.83965,390,42.74829865,-73.80169678,27.97550011,-82.53320313
ALO,ORD,137.6472222,425.75,655,42.55709839,-92.40029907,41.9786,-87.9048
AMA,DAL,238.9643836,1186.693151,1341,35.219398,-101.706001,32.847099,-96.851799
AMA,DEN,122.8333333,508.5833333,17,35.219398,-101.706001,39.86169815,-104.6729965
AMA,DFW,450.0876712,1888.241096,2209,35.219398,-101.706001,32.896801,-97.038002
AMA,IAH,300.489011,1511.230769,1064,35.219398,-101.706001,29.9843998,-95.34140015
AMA,LAS,122.4285714,758,364,35.219398,-101.706001,36.08010101,-115.1520004
AMA,PHX,131.82397,602,267,35.219398,-101.706001,33.43429947,-112.012001
ANC,ADK,184.2475248,1192,101,61.17440033,-149.9960022,51.87799835,-176.6459961
ANC,ADQ,101.9917355,430.7272727,618,61.17440033,-149.9960022,57.75,-152.4940033
ANC,AKN,66.25396825,288,63,61.17440033,-149.9960022,58.67679977,-156.6490021
ANC,ATL,403.5043478,3417,115,61.17440033,-149.9960022,33.6367,-84.428101
ANC,BET,170.5331492,893.8922652,811,61.17440033,-149.9960022,60.77980042,-161.8379974
ANC,CDV,52.27146814,160,361,61.17440033,-149.9960022,60.4917984,-145.4779968
ANC,DEN,377.4903581,3021.157025,456,61.17440033,-149.9960022,39.86169815,-104.6729965
ANC,DFW,370.2016807,3043,119,61.17440033,-149.9960022,32.896801,-97.038002
ANC,DLG,69.50617284,329,81,61.17440033,-149.9960022,59.04470062,-158.5050049
ANC,EWR,405.9285714,3370,14,61.17440033,-149.9960022,40.69250107,-74.16870117
ANC,FAI,332.7013699,1488.057534,2081,61.17440033,-149.9960022,64.81510162,-147.8560028
ANC,HNL,364.521978,2777,364,61.17440033,-149.9960022,21.32062,-157.924228
ANC,IAH,394.04,3266,75,61.17440033,-149.9960022,29.9843998,-95.34140015
ANC,JNU,347.4876712,2057.164384,1315,61.17440033,-149.9960022,58.35499954,-134.576004
ANC,KOA,378.4262295,2874,61,61.17440033,-149.9960022,19.738783,-156.045603
ANC,LAS,304.4285714,2304,7,61.17440033,-149.9960022,36.08010101,-115.1520004
ANC,LAX,449.8235294,3426.749226,472,61.17440033,-149.9960022,33.94250107,-118.4079971
ANC,MSP,474.0994152,3918.444444,532,61.17440033,-149.9960022,44.882,-93.221802
ANC,OGG,370.2465753,2797,73,61.17440033,-149.9960022,20.8986,-156.429993
ANC,OME,105.3534483,611.795977,395,61.17440033,-149.9960022,64.5121994,-165.4450073
ANC,ORD,783.3686275,6194.235294,555,61.17440033,-149.9960022,41.9786,-87.9048
ANC,OTZ,170.7808989,1006.719101,654,61.17440033,-149.9960022,66.88469696,-162.598999
ANC,PDX,635.030137,4680.920548,1108,61.17440033,-149.9960022,45.58869934,-122.5979996
ANC,PHX,324.8139535,2552,172,61.17440033,-149.9960022,33.43429947,-112.012001
ANC,SCC,198.3863014,1245.139726,726,61.17440033,-149.9960022,70.19470215,-148.4649963
ANC,SEA,3747.391781,26952.63562,6794,61.17440033,-149.9960022,47.449001,-122.308998
ANC,SFO,266.7029703,2018,101,61.17440033,-149.9960022,37.61899948,-122.375
ANC,SLC,263.862069,2125,58,61.17440033,-149.9960022,40.78839874,-111.9779968
APN,DTW,67.08450704,198,355,45.0780983,-83.56030273,42.21239853,-83.35340118
APN,MBS,0,110,1,45.0780983,-83.56030273,43.53290176,-84.07959747
APN,PLN,42.12698413,69,252,45.0780983,-83.56030273,45.57089996,-84.79669952
ART,PHL,147.2307692,529.8461538,24,43.9919014,-76.021698,39.87189865,-75.2410965
ASE,ATL,186.5454545,1304,99,39.22320175,-106.8690033,33.6367,-84.428101
ASE,DEN,342.6584022,758.6088154,2203,39.22320175,-106.8690033,39.86169815,-104.6729965
ASE,DFW,213.3008596,1215.200573,605,39.22320175,-106.8690033,32.896801,-97.038002
ASE,IAH,317.9707317,1923.980488,432,39.22320175,-106.8690033,29.9843998,-95.34140015
ASE,LAX,470.4852459,2486.468852,1029,39.22320175,-106.8690033,33.94250107,-118.4079971
ASE,MSP,135.72,802,25,39.22320175,-106.8690033,44.882,-93.221802
ASE,ORD,591.5282258,3619.024194,886,39.22320175,-106.8690033,41.9786,-87.9048
ASE,PHX,116.5529412,491,85,39.22320175,-106.8690033,33.43429947,-112.012001
ASE,SFO,244.5989848,1381.766497,321,39.22320175,-106.8690033,37.61899948,-122.375
ASE,SLC,147.3791209,579.1868132,722,39.22320175,-106.8690033,40.78839874,-111.9779968
ATL,ABE,308.5424658,1829.534247,965,33.6367,-84.428101,40.65209961,-75.44080353
ATL,ABQ,449.4478022,2963.324176,850,33.6367,-84.428101,35.040199,-106.609001
ATL,ABY,148.5534247,400.0410959,1007,33.6367,-84.428101,31.53549957,-84.19450378
ATL,ACY,114.5767196,679,189,33.6367,-84.428101,39.45759964,-74.57720184
ATL,AEX,363.7506849,1801.369863,1315,33.6367,-84.428101,31.32740021,-92.54979706
ATL,AGS,396.2410959,1042.136986,2660,33.6367,-84.428101,33.36989975,-81.96450043
ATL,ALB,360.9561644,2379.052055,1018,33.6367,-84.428101,42.74829865,-73.80169678
ATL,ANC,439.4913793,3417,116,33.6367,-84.428101,61.17440033,-149.9960022
ATL,ASE,211.2019231,1304,104,33.6367,-84.428101,39.22320175,-106.8690033
ATL,ATW,230.8598901,1395.494505,664,33.6367,-84.428101,44.2580986,-88.51909637
ATL,AUS,1443.767123,8406.19726,3774,33.6367,-84.428101,30.19449997,-97.66989899
ATL,AVL,365.1424658,1065.775342,2372,33.6367,-84.428101,35.43619919,-82.54180145
ATL,AVP,113.4273504,714,351,33.6367,-84.428101,41.33850098,-75.7233963
ATL,BDL,823.771978,5382.909341,2281,33.6367,-84.428101,41.93889999,-72.68319702
ATL,BHM,446.6410959,1246.383562,3395,33.6367,-84.428101,33.56290054,-86.75350189
ATL,BMI,276.3205479,1466.115068,1004,33.6367,-84.428101,40.47710037,-88.91590118
ATL,BNA,698.3013699,2416.734247,4122,33.6367,-84.428101,36.12450027,-86.67819977
ATL,BOS,2754.084932,17709.63836,6833,33.6367,-84.428101,42.36429977,-71.00520325
ATL,BQK,190.3159341,672.1538462,1028,33.6367,-84.428101,31.25880051,-81.46649933
ATL,BTR,566.7726027,2781.282192,2266,33.6367,-84.428101,30.533199,-91.149597
ATL,BTV,156.5111111,1057.1,396,33.6367,-84.428101,44.47190094,-73.15329742
ATL,BUF,515.9726027,3208.876712,1645,33.6367,-84.428101,42.94049835,-78.73220062
ATL,BWI,1925.879452,10770.13973,6813,33.6367,-84.428101,39.1754,-76.668297
ATL,BZN,350.369863,2381.369863,106,33.6367,-84.428101,45.77750015,-111.1529999
ATL,CAE,397.7150685,1396.60274,2655,33.6367,-84.428101,33.93880081,-81.11949921
ATL,CAK,267.3616438,1481.293151,1024,33.6367,-84.428101,40.91609955,-81.44219971
ATL,CHA,429.8821918,940.3506849,3238,33.6367,-84.428101,35.03530121,-85.20379639
ATL,CHO,404.0630137,2070.89863,1654,33.6367,-84.428101,38.1385994,-78.45290375
ATL,CHS,619.025,2513.738889,3494,33.6367,-84.428101,32.89860153,-80.04049683
ATL,CID,300.0631868,1702.587912,893,33.6367,-84.428101,41.88470078,-91.71080017
ATL,CLE,970.8438356,5414.021918,3567,33.6367,-84.428101,41.4117012,-81.84980011
ATL,CLT,1251.857534,3880.389041,6267,33.6367,-84.428101,35.2140007,-80.94309998
ATL,CMH,896.5561644,4601.038356,3757,33.6367,-84.428101,39.998001,-82.891899
ATL,COS,221.3263473,1414.419162,399,33.6367,-84.428101,38.805801,-104.700996
ATL,CRW,346.890411,1586.260274,1595,33.6367,-84.428101,38.37310028,-81.59320068
ATL,CSG,155.0931507,287.430137,1264,33.6367,-84.428101,32.5163002,-84.93890381
ATL,CVG,601.7643836,2862.391781,2801,33.6367,-84.428101,39.04880142,-84.6678009
ATL,DAB,358.9945205,1755.79726,1751,33.6367,-84.428101,29.179899,-81.058098
ATL,DAL,1200.309589,6771.473973,3428,33.6367,-84.428101,32.847099,-96.851799
ATL,DAY,322.090411,1628.580822,1376,33.6367,-84.428101,39.90240097,-84.2193985
ATL,DCA,1938.134247,10509.89315,7013,33.6367,-84.428101,38.8521,-77.037697
ATL,DEN,2944.315068,18362.76712,5590,33.6367,-84.428101,39.86169815,-104.6729965
ATL,DFW,2648.717808,13915.03562,6948,33.6367,-84.428101,32.896801,-97.038002
ATL,DHN,223.1643836,636.2191781,1366,33.6367,-84.428101,31.32130051,-85.44960022
ATL,DSM,360.0328767,2117.041096,1040,33.6367,-84.428101,41.5340004,-93.6631012
ATL,DTW,1711.484932,9207.813699,5658,33.6367,-84.428101,42.21239853,-83.35340118
ATL,ECP,331.9476584,1309.752066,1981,33.6367,-84.428101,30.357106,-85.795414
ATL,EGE,213.1359223,1350.213592,106,33.6367,-84.428101,39.64260101,-106.9179993
ATL,ELM,114.4,717,10,33.6367,-84.428101,42.15990067,-76.89160156
ATL,ELP,443.1863014,3017.090411,859,33.6367,-84.428101,31.80719948,-106.3779984
ATL,EVV,231.8406593,1009.615385,1050,33.6367,-84.428101,38.03699875,-87.53240204
ATL,EWN,165.9166667,839.5388889,698,33.6367,-84.428101,35.07300186,-77.04290009
ATL,EWR,2258.653846,13102.13736,6393,33.6367,-84.428101,40.69250107,-74.16870117
ATL,EYW,491.5589041,2943.282192,1663,33.6367,-84.428101,24.55610085,-81.75959778
ATL,FAR,185.8181818,1123,22,33.6367,-84.428101,46.92070007,-96.81580353
ATL,FAY,345.121547,1527.903315,1671,33.6367,-84.428101,34.99119949,-78.88030243
ATL,FCA,265.5833333,1842,12,33.6367,-84.428101,48.3105011,-114.2559967
ATL,FLL,2517.676712,13668.62192,8587,33.6367,-84.428101,26.072599,-80.152702
ATL,FNT,313.6712329,1795.39726,1016,33.6367,-84.428101,42.9654007,-83.74359894
ATL,FSD,152.5177994,954,309,33.6367,-84.428101,43.58200073,-96.74189758
ATL,FSM,206.8269231,1081.648352,680,33.6367,-84.428101,35.33660126,-94.36740112
ATL,FWA,388.9835616,1954.060274,1404,33.6367,-84.428101,40.97850037,-85.19509888
ATL,GNV,477.6575342,1956.164384,2380,33.6367,-84.428101,29.69009972,-82.27179718
ATL,GPT,303.5494505,1380.923077,1428,33.6367,-84.428101,30.40730095,-89.07009888
ATL,GRB,181.7849162,1104.787709,511,33.6367,-84.428101,44.48509979,-88.12960052
ATL,GRK,188.3333333,1124.2,21,33.6367,-84.428101,31.06719971,-97.8289032
ATL,GRR,495.430137,2933.479452,1673,33.6367,-84.428101,42.88079834,-85.52279663
ATL,GSO,517.2493151,2273.621918,2712,33.6367,-84.428101,36.09780121,-79.93730164
ATL,GSP,504.2986301,1574.432877,3756,33.6367,-84.428101,34.89569855,-82.21890259
ATL,GTR,192.139726,670.1780822,1015,33.6367,-84.428101,33.45029831,-88.59140015
ATL,HDN,211.0306122,1340,98,33.6367,-84.428101,40.48120117,-107.2180023
ATL,HNL,572.9287671,4502,365,33.6367,-84.428101,21.32062,-157.924228
ATL,HOU,1406.630137,7816.175342,4099,33.6367,-84.428101,29.64539909,-95.27890015
ATL,HPN,767.1790634,4488.760331,2089,33.6367,-84.428101,41.06700134,-73.70760345
ATL,HSV,359.0712329,1047.484932,2532,33.6367,-84.428101,34.6371994,-86.77510071
ATL,IAD,1175.723288,6336.312329,4331,33.6367,-84.428101,38.94449997,-77.45580292
ATL,IAH,1885.671233,9898.947945,5244,33.6367,-84.428101,29.9843998,-95.34140015
ATL,ICT,373.7863014,2223.879452,1038,33.6367,-84.428101,37.649899,-97.433098
ATL,ILM,388.1944444,1846.252778,1763,33.6367,-84.428101,34.27059937,-77.90260315
ATL,IND,965.3808219,4875.090411,4119,33.6367,-84.428101,39.7173,-86.294403
ATL,ISP,134.9285714,795,70,33.6367,-84.428101,40.79520035,-73.10019684
ATL,JAC,269.51,1854.96,118,33.6367,-84.428101,43.6072998,-110.737999
ATL,JAN,461.5945205,2099.252055,2247,33.6367,-84.428101,32.31119919,-90.07589722
ATL,JAX,936.630137,3898.356164,5270,33.6367,-84.428101,30.49410057,-81.68789673
ATL,JFK,1165.742466,6712.986301,3224,33.6367,-84.428101,40.63980103,-73.77890015
ATL,LAS,3278.208219,22270.66027,4653,33.6367,-84.428101,36.08010101,-115.1520004
ATL,LAX,5187.2,35190.02466,6597,33.6367,-84.428101,33.94250107,-118.4079971
ATL,LEX,477.5561644,2088.854795,2508,33.6367,-84.428101,38.03649902,-84.60590363
ATL,LFT,355.9150685,1750.164384,1270,33.6367,-84.428101,30.20529938,-91.98760223
ATL,LGA,3295.991781,19578.18082,9378,33.6367,-84.428101,40.77719879,-73.87259674
ATL,LIT,543.2465753,2763.920548,2227,33.6367,-84.428101,34.72940063,-92.22429657
ATL,LNK,142.8449612,841,258,33.6367,-84.428101,40.85100174,-96.75920105
ATL,MCI,1392.334247,7782.630137,4105,33.6367,-84.428101,39.2976,-94.713898
ATL,MCO,2195.293151,10291.48493,9298,33.6367,-84.428101,28.42939949,-81.30899811
ATL,MDT,290.769863,1727.506849,1017,33.6367,-84.428101,40.19350052,-76.76339722
ATL,MDW,1208.832877,6658.060274,4112,33.6367,-84.428101,41.785999,-87.752403
ATL,MEM,714.1780822,3122.619178,3433,33.6367,-84.428101,35.04240036,-89.97669983
ATL,MGM,353.771978,922.3846154,2284,33.6367,-84.428101,32.30059814,-86.39399719
ATL,MHT,142.4691011,952,356,33.6367,-84.428101,42.932598,-71.435699
ATL,MIA,1985.4,10604.12055,6516,33.6367,-84.428101,25.79319954,-80.29060364
ATL,MKE,990.9945205,5773.561644,3150,33.6367,-84.428101,42.94720078,-87.89659882
ATL,MLB,356.8794521,1868.509589,1543,33.6367,-84.428101,28.10280037,-80.64530182
ATL,MLI,327.4575342,1807.084932,1042,33.6367,-84.428101,41.44850159,-90.50749969
ATL,MLU,342.9287671,1602.980822,1306,33.6367,-84.428101,32.51089859,-92.03769684
ATL,MOB,500.9150685,1964.241096,2374,33.6367,-84.428101,30.69120026,-88.24279785
ATL,MSN,376.430137,2252.715068,1163,33.6367,-84.428101,43.13990021,-89.33750153
ATL,MSO,259.8461538,1800,13,33.6367,-84.428101,46.91630173,-114.0910034
ATL,MSP,2032.972603,12215.92329,4916,33.6367,-84.428101,44.882,-93.221802
ATL,MSY,1326.610959,6380.821918,5480,33.6367,-84.428101,29.99340057,-90.25800323
ATL,MTJ,258.9166667,1614.888889,43,33.6367,-84.428101,38.50979996,-107.8939972
ATL,MYR,242.6232687,1160.869806,1322,33.6367,-84.428101,33.67969894,-78.92829895
ATL,OAJ,290.9888579,1409.281337,1268,33.6367,-84.428101,34.82920074,-77.61209869
ATL,OAK,359.2774725,2516.208791,430,33.6367,-84.428101,37.721298,-122.221001
ATL,OKC,694.1041096,4117.739726,1975,33.6367,-84.428101,35.39310074,-97.60070038
ATL,OMA,654.5506849,3884.567123,1727,33.6367,-84.428101,41.3032,-95.894096
ATL,ORD,2596.624658,12523.44658,7543,33.6367,-84.428101,41.9786,-87.9048
ATL,ORF,711.5357143,4082.637363,2880,33.6367,-84.428101,36.89459991,-76.20120239
ATL,PBI,1192.884932,6350.369863,4253,33.6367,-84.428101,26.68320084,-80.09559631
ATL,PDX,1108.150685,7854.90411,1320,33.6367,-84.428101,45.58869934,-122.5979996
ATL,PHF,284.0931507,1536.526027,1104,33.6367,-84.428101,37.13190079,-76.49299622
ATL,PHL,2079.00274,11803.70959,6469,33.6367,-84.428101,39.87189865,-75.2410965
ATL,PHX,2262.082192,14887.36438,3424,33.6367,-84.428101,33.43429947,-112.012001
ATL,PIA,312.2876712,1585.09589,1024,33.6367,-84.428101,40.66419983,-89.69329834
ATL,PIT,894.4958904,5012.131507,3478,33.6367,-84.428101,40.49150085,-80.23290253
ATL,PNS,505.5643836,2018.764384,2719,33.6367,-84.428101,30.47340012,-87.18659973
ATL,PSP,282,1840,11,33.6367,-84.428101,33.82970047,-116.5070038
ATL,PVD,392.3150685,2597.671233,1050,33.6367,-84.428101,41.732601,-71.420403
ATL,PWM,275.4630682,1916.872159,657,33.6367,-84.428101,43.64619827,-70.30930328
ATL,RAP,188.9411765,1230,17,33.6367,-84.428101,44.04529953,-103.0569992
ATL,RDU,1121.153425,5119.572603,5249,33.6367,-84.428101,35.87760162,-78.78749847
ATL,RIC,1024.843836,5603.320548,4252,33.6367,-84.428101,37.50519943,-77.31970215
ATL,RNO,295.3333333,1993,24,33.6367,-84.428101,39.49909973,-119.7679977
ATL,ROA,369.4712329,1594.273973,1630,33.6367,-84.428101,37.3255,-79.975403
ATL,ROC,333.4657534,2103.356164,1025,33.6367,-84.428101,43.1189003,-77.67240143
ATL,RST,199.9293785,1204.245763,513,33.6367,-84.428101,43.90829849,-92.5
ATL,RSW,930.4767123,5063.931507,3589,33.6367,-84.428101,26.53619957,-81.75520325
ATL,SAN,1721.953425,12067.33151,2328,33.6367,-84.428101,32.73360062,-117.1900024
ATL,SAT,1327.347945,8031.221918,3354,33.6367,-84.428101,29.53370094,-98.46980286
ATL,SAV,563.271978,2042.406593,3474,33.6367,-84.428101,32.12760162,-81.20210266
ATL,SBN,422.6712329,2177.161644,1404,33.6367,-84.428101,41.70869827,-86.31729889
ATL,SDF,570.1123288,2459.827397,2797,33.6367,-84.428101,38.1744,-85.736
ATL,SEA,2696.758904,18394.5589,3077,33.6367,-84.428101,47.449001,-122.308998
ATL,SFO,2783.136986,19168.95616,3271,33.6367,-84.428101,37.61899948,-122.375
ATL,SGF,405.3571429,2115.89011,1368,33.6367,-84.428101,37.24570084,-93.38860321
ATL,SHV,627.8021978,3204.57967,2117,33.6367,-84.428101,32.446602,-93.8256
ATL,SJC,906.5123288,6365.391781,1098,33.6367,-84.428101,37.362598,-121.929001
ATL,SLC,2006.742466,13321.15068,3058,33.6367,-84.428101,40.78839874,-111.9779968
ATL,SMF,802.4931507,5628.339726,982,33.6367,-84.428101,38.69540024,-121.5910034
ATL,SNA,879.4136986,6067.194521,1154,33.6367,-84.428101,33.67570114,-117.8679962
ATL,SRQ,536.1671233,2773.479452,2280,33.6367,-84.428101,27.39539909,-82.55439758
ATL,STL,1069.386301,5428.756164,4094,33.6367,-84.428101,38.748697,-90.370003
ATL,SYR,346.2794521,2227.550685,1024,33.6367,-84.428101,43.11119843,-76.10630035
ATL,TLH,380.1675824,1404.164835,2292,33.6367,-84.428101,30.39649963,-84.35030365
ATL,TPA,1573.39726,7766.279452,6982,33.6367,-84.428101,27.97550011,-82.53320313
ATL,TRI,372.8684932,1345.208219,2163,33.6367,-84.428101,36.475201,-82.407401
ATL,TTN,122.1118644,701,295,33.6367,-84.428101,40.27669907,-74.81349945
ATL,TUL,524.139726,2969.293151,1608,33.6367,-84.428101,36.19839859,-95.88809967
ATL,TUS,419.9123288,2883.569863,683,33.6367,-84.428101,32.11610031,-110.9410019
ATL,TVC,185.24,1107.36,36,33.6367,-84.428101,44.74140167,-85.5821991
ATL,TYS,415.8328767,1217.249315,2923,33.6367,-84.428101,35.81100082,-83.9940033
ATL,VLD,182.830137,586.9589041,1030,33.6367,-84.428101,30.78249931,-83.27670288
ATL,VPS,405.1813187,1534.340659,2234,33.6367,-84.428101,30.4832,-86.525398
ATL,XNA,591.2410959,3111.210959,1928,33.6367,-84.428101,36.281898,-94.306801
ATW,ATL,240.228022,1387.087912,660,44.2580986,-88.51909637,33.6367,-84.428101
ATW,AZA,214.6161616,1452,99,44.2580986,-88.51909637,33.30780029,-111.6549988
ATW,DTW,193.6882353,752.1882353,864,44.2580986,-88.51909637,42.21239853,-83.35340118
ATW,LAS,223.3018868,1510,106,44.2580986,-88.51909637,36.08010101,-115.1520004
